                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                 0.6592,                0.44399,                0.91429,                0.94827,                0.97848,                0.97121,                0.84674,                 0.6486,                0.47344,                  0.818,              0.0012225,              0.0012225,              0.0012225
                     76,                0.64816,                0.43918,                 0.9125,                0.96268,                0.97524,                0.97507,                0.82602,                0.54972,                0.48655,                0.80912,              0.0012196,              0.0012196,              0.0012196
                     77,                0.62301,                0.43498,                0.90368,                0.89592,                0.91985,                 0.9515,                0.84465,                0.55455,                0.49223,                0.81303,              0.0012168,              0.0012168,              0.0012168
                     78,                0.65473,                0.44227,                0.90774,                 0.9334,                0.90548,                0.95466,                0.83031,                0.57568,                0.45945,                0.81791,               0.001214,               0.001214,               0.001214
                     79,                0.62567,                0.43665,                0.90274,                0.90715,                0.99409,                0.97172,                0.85898,                0.56204,                0.49443,                0.80523,              0.0012111,              0.0012111,              0.0012111
                     80,                0.64314,                0.44961,                0.90511,                0.94629,                0.97354,                0.98163,                0.83818,                0.60897,                0.45976,                0.83252,              0.0012083,              0.0012083,              0.0012083
                     81,                0.64706,                0.44264,                0.90887,                0.94075,                0.96507,                0.98505,                0.85888,                0.55964,                0.47066,                0.81386,              0.0012055,              0.0012055,              0.0012055
                     82,                0.62548,                0.42739,                0.90016,                0.88595,                0.94213,                0.97653,                0.86366,                0.56993,                0.48448,                0.82317,              0.0012026,              0.0012026,              0.0012026
                     83,                0.64258,                0.43077,                0.91169,                0.92829,                0.90386,                0.94876,                0.82892,                 0.5711,                0.49385,                0.81568,              0.0011998,              0.0011998,              0.0011998
                     84,                0.64368,                0.42707,                0.90973,                0.93871,                0.91437,                0.95887,                0.83727,                0.59995,                0.47816,                0.82833,               0.001197,               0.001197,               0.001197
                     85,                0.66163,                0.43955,                0.91351,                0.95608,                0.91414,                0.96919,                0.85644,                0.62296,                 0.4634,                0.82298,              0.0011942,              0.0011942,              0.0011942
                     86,                0.67047,                0.44745,                0.92164,                0.95368,                 0.9834,                0.97953,                0.84977,                0.58034,                0.49548,                0.80702,              0.0011913,              0.0011913,              0.0011913
                     87,                0.66422,                0.43813,                 0.9125,                0.93782,                0.95371,                0.97613,                0.83767,                0.62768,                0.51306,                0.81271,              0.0011885,              0.0011885,              0.0011885
                     88,                0.66883,                0.43391,                0.91762,                0.95935,                 0.9849,                0.98019,                0.85995,                0.54448,                0.46704,                0.81672,              0.0011857,              0.0011857,              0.0011857
                     89,                0.62917,                0.43036,                0.90512,                0.95191,                0.99731,                0.98225,                0.86989,                0.57682,                 0.4426,                0.80821,              0.0011828,              0.0011828,              0.0011828
                     90,                0.61536,                0.41938,                0.90373,                0.94165,                0.99567,                0.97878,                0.85498,                0.59007,                0.49636,                0.81761,                0.00118,                0.00118,                0.00118
                     91,                0.62461,                0.43054,                 0.9083,                0.95727,                0.98787,                 0.9756,                0.85548,                0.56163,                0.45189,                0.80279,              0.0011772,              0.0011772,              0.0011772
                     92,                 0.6249,                0.42782,                0.90424,                0.95477,                0.95562,                0.97159,                0.84559,                0.53481,                 0.4687,                 0.8072,              0.0011744,              0.0011744,              0.0011744
                     93,                0.64284,                 0.4309,                 0.9037,                0.82301,                0.96236,                0.95476,                0.80699,                0.58607,                0.48009,                0.80829,              0.0011715,              0.0011715,              0.0011715
                     94,                0.64082,                0.41336,                0.90072,                0.93496,                0.86167,                0.95012,                0.81625,                0.60676,                0.49627,                0.81269,              0.0011687,              0.0011687,              0.0011687
                     95,                 0.6598,                0.42848,                0.90521,                0.93462,                0.97004,                0.97878,                0.88437,                0.52773,                 0.4755,                0.81264,              0.0011659,              0.0011659,              0.0011659
                     96,                0.64417,                0.41182,                0.91035,                0.94283,                0.96813,                0.96843,                 0.8555,                0.52806,                0.47074,                0.80277,               0.001163,               0.001163,               0.001163
                     97,                0.62744,                0.40897,                0.90873,                0.95365,                0.98609,                0.98067,                0.84582,                0.52945,                0.45029,                0.79955,              0.0011602,              0.0011602,              0.0011602
                     98,                0.59681,                0.40047,                0.89438,                0.90262,                0.98843,                0.97032,                0.84325,                0.56394,                0.47052,                0.81183,              0.0011574,              0.0011574,              0.0011574
                     99,                0.61512,                0.41447,                0.90717,                0.94072,                0.92713,                0.94373,                0.82868,                0.54376,                0.49911,                0.81182,              0.0011545,              0.0011545,              0.0011545
                    100,                0.60364,                0.41191,                0.88973,                0.93894,                0.96478,                0.97288,                0.85918,                0.54992,                0.47063,                0.80695,              0.0011517,              0.0011517,              0.0011517
                    101,                0.61951,                 0.4024,                0.90442,                0.94409,                0.92754,                0.95145,                0.83409,                0.55401,                 0.4747,                  0.826,              0.0011489,              0.0011489,              0.0011489
                    102,                0.59422,                0.38551,                0.89568,                0.93865,                0.93161,                0.96338,                0.81509,                0.68087,                0.48668,                0.82079,              0.0011461,              0.0011461,              0.0011461
                    103,                0.59959,                0.39777,                0.89605,                0.95368,                0.93318,                0.96514,                0.84363,                 0.5905,                 0.5001,                0.80688,              0.0011432,              0.0011432,              0.0011432
                    104,                0.58655,                0.40163,                0.88848,                0.95507,                0.97697,                0.98384,                0.87389,                0.52862,                0.44707,                0.80165,              0.0011404,              0.0011404,              0.0011404
                    105,                0.60585,                0.42716,                0.89482,                0.94532,                0.99835,                0.97185,                0.86245,                0.55645,                 0.4526,                 0.8241,              0.0011376,              0.0011376,              0.0011376
                    106,                0.61285,                0.40606,                0.89779,                0.94878,                0.98795,                0.97458,                0.84085,                0.56074,                0.44037,                0.82468,              0.0011347,              0.0011347,              0.0011347
                    107,                0.60367,                0.39293,                0.90353,                0.93922,                0.99521,                0.97212,                 0.8449,                0.55654,                0.46314,                0.81408,              0.0011319,              0.0011319,              0.0011319
                    108,                0.60554,                0.40609,                 0.9007,                0.94759,                0.96439,                0.97488,                0.85096,                0.56808,                0.45464,                0.80678,              0.0011291,              0.0011291,              0.0011291
                    109,                0.61137,                0.39865,                0.90489,                0.92492,                0.98504,                0.97163,                0.83299,                0.56158,                0.50443,                0.82437,              0.0011263,              0.0011263,              0.0011263
                    110,                0.59109,                0.38865,                0.89427,                0.92881,                0.99613,                0.97651,                0.86031,                0.53728,                0.46403,                0.80801,              0.0011234,              0.0011234,              0.0011234
                    111,                0.59832,                 0.4099,                0.90128,                0.94375,                0.92109,                0.96515,                0.84819,                0.53848,                0.48546,                0.81153,              0.0011206,              0.0011206,              0.0011206
                    112,                 0.5885,                0.41889,                0.89683,                0.94661,                0.97717,                0.98134,                0.80005,                 0.6802,                0.47426,                0.81679,              0.0011178,              0.0011178,              0.0011178
                    113,                0.61804,                0.40584,                0.91309,                0.96167,                0.99915,                0.98064,                0.85138,                0.55386,                0.45754,                0.82406,              0.0011149,              0.0011149,              0.0011149
                    114,                0.59106,                0.38936,                0.89567,                0.90833,                0.96987,                0.96988,                0.82673,                0.59246,                0.49299,                0.81236,              0.0011121,              0.0011121,              0.0011121
                    115,                0.59123,                0.39762,                0.90184,                 0.9304,                0.91706,                0.98255,                0.86393,                0.51858,                0.47301,                0.80588,              0.0011093,              0.0011093,              0.0011093
                    116,                0.60318,                0.39632,                0.89117,                0.95443,                0.98842,                0.97353,                 0.8455,                0.56287,                0.45253,                0.80999,              0.0011064,              0.0011064,              0.0011064
                    117,                0.61409,                0.40746,                0.89899,                0.95172,                0.97158,                0.97617,                0.83882,                0.56763,                0.48785,                 0.8087,              0.0011036,              0.0011036,              0.0011036
                    118,                0.60668,                0.39974,                0.89517,                0.94586,                0.97904,                0.98153,                0.82535,                0.61299,                0.46802,                0.81273,              0.0011008,              0.0011008,              0.0011008
                    119,                0.59781,                 0.3944,                0.89432,                0.94506,                0.98543,                0.98101,                0.86212,                0.54219,                0.43773,                 0.8049,               0.001098,               0.001098,               0.001098
                    120,                0.58543,                0.37821,                 0.8986,                0.95549,                0.96711,                0.98679,                0.88358,                0.55476,                 0.4302,                 0.8057,              0.0010951,              0.0010951,              0.0010951
                    121,                0.59449,                0.38702,                0.89376,                0.96119,                 0.9681,                0.98193,                0.84858,                0.54727,                0.45053,                0.79479,              0.0010923,              0.0010923,              0.0010923
                    122,                0.55771,                0.38024,                0.88515,                0.95716,                0.98234,                0.97434,                0.84555,                0.54169,                0.46058,                0.80043,              0.0010895,              0.0010895,              0.0010895
                    123,                0.56394,                0.37114,                 0.8851,                0.95577,                0.97966,                0.97282,                0.87783,                0.49725,                0.43143,                0.79322,              0.0010866,              0.0010866,              0.0010866
                    124,                0.58346,                0.38151,                0.89693,                0.94701,                0.97534,                0.97993,                0.86632,                0.54035,                0.44765,                0.80474,              0.0010838,              0.0010838,              0.0010838
                    125,                0.59672,                 0.3951,                0.89203,                0.94064,                 0.9717,                0.97781,                0.85291,                0.57022,                  0.479,                0.79996,               0.001081,               0.001081,               0.001081
                    126,                0.58681,                0.39444,                0.89004,                0.89396,                0.98179,                0.97109,                0.85095,                0.56903,                0.50008,                0.81323,              0.0010782,              0.0010782,              0.0010782
                    127,                0.57192,                0.38745,                0.89074,                0.93627,                 0.9721,                0.97259,                0.85723,                0.52642,                 0.4397,                0.81628,              0.0010753,              0.0010753,              0.0010753
                    128,                0.58888,                0.38953,                0.89668,                 0.9547,                0.96147,                0.97533,                0.83844,                0.56673,                0.44386,                0.81584,              0.0010725,              0.0010725,              0.0010725
                    129,                0.57842,                 0.3788,                0.88927,                0.88385,                0.99433,                0.96584,                0.84467,                0.54876,                0.46061,                0.81233,              0.0010697,              0.0010697,              0.0010697
                    130,                 0.5999,                0.39148,                0.89933,                0.94042,                0.98273,                0.97889,                0.86073,                0.55768,                0.41818,                0.80138,              0.0010668,              0.0010668,              0.0010668
                    131,                0.58849,                0.38865,                0.89188,                0.95005,                0.97776,                0.97286,                0.86004,                0.53586,                0.43614,                0.81447,               0.001064,               0.001064,               0.001064
                    132,                0.62129,                0.39408,                0.90474,                 0.9472,                0.97835,                0.97158,                0.85137,                0.51724,                0.45026,                0.80685,              0.0010612,              0.0010612,              0.0010612
                    133,                0.59384,                0.39071,                0.89596,                0.94589,                0.98365,                0.98008,                0.84896,                0.57155,                0.43688,                0.80849,              0.0010583,              0.0010583,              0.0010583
                    134,                0.56688,                  0.378,                0.89002,                0.94339,                0.97962,                0.98006,                0.85179,                0.58497,                0.45487,                0.81928,              0.0010555,              0.0010555,              0.0010555
                    135,                0.56444,                0.37716,                0.88611,                0.95374,                0.98969,                0.97599,                0.83743,                0.58761,                0.47254,                0.81716,              0.0010527,              0.0010527,              0.0010527
                    136,                0.56613,                0.37741,                0.88807,                0.95827,                0.94739,                0.96981,                0.85066,                0.58127,                0.46208,                0.80387,              0.0010499,              0.0010499,              0.0010499
                    137,                0.56786,                0.37015,                0.89468,                0.94011,                0.95065,                 0.9837,                0.87467,                0.55127,                0.44871,                0.80715,               0.001047,               0.001047,               0.001047
                    138,                0.57394,                   0.38,                0.89539,                0.95434,                0.96684,                0.98316,                0.87793,                0.56791,                0.46199,                0.80126,              0.0010442,              0.0010442,              0.0010442
                    139,                0.58491,                0.37843,                0.89633,                 0.9474,                0.95465,                0.98357,                0.86232,                0.65234,                0.46306,                 0.8148,              0.0010414,              0.0010414,              0.0010414
                    140,                0.57045,                0.37119,                   0.89,                0.95591,                0.98605,                0.98231,                0.88336,                0.54067,                0.44145,                0.80395,              0.0010385,              0.0010385,              0.0010385
                    141,                0.58598,                0.38249,                0.90043,                0.95215,                0.97423,                0.98152,                0.87927,                 0.5308,                0.42915,                 0.7951,              0.0010357,              0.0010357,              0.0010357
                    142,                0.57397,                0.37395,                0.89269,                 0.9532,                0.97132,                 0.9828,                0.85984,                0.57559,                0.43778,                0.79525,              0.0010329,              0.0010329,              0.0010329
                    143,                 0.5903,                0.37927,                0.89078,                0.95763,                0.98244,                0.98501,                0.87056,                 0.5634,                0.46702,                0.79695,              0.0010301,              0.0010301,              0.0010301
                    144,                0.57448,                 0.3786,                0.89034,                0.94153,                 0.9534,                0.97468,                0.84132,                 0.5981,                 0.4979,                0.80713,              0.0010272,              0.0010272,              0.0010272
                    145,                0.54544,                0.36841,                0.88725,                0.94212,                0.98137,                0.97567,                0.86483,                0.56478,                0.47474,                0.80151,              0.0010244,              0.0010244,              0.0010244
                    146,                0.53084,                0.37078,                0.88049,                0.94174,                0.97181,                0.97535,                0.85564,                0.51201,                0.44227,                0.79494,              0.0010216,              0.0010216,              0.0010216
                    147,                0.55245,                 0.3734,                0.88574,                0.92761,                0.96586,                0.96154,                0.85695,                0.54484,                0.46774,                0.80639,              0.0010187,              0.0010187,              0.0010187
                    148,                0.57637,                0.36956,                0.89011,                0.96189,                0.97125,                0.98275,                0.85479,                0.56902,                0.46201,                0.81229,              0.0010159,              0.0010159,              0.0010159
                    149,                0.53819,                0.36703,                0.87935,                0.95936,                0.97241,                0.97574,                0.86041,                0.56136,                0.41759,                0.80398,              0.0010131,              0.0010131,              0.0010131
                    150,                0.54698,                0.36085,                0.88568,                0.95759,                0.97684,                0.98117,                0.88529,                0.53273,                0.43897,                0.80234,              0.0010102,              0.0010102,              0.0010102
                    151,                0.52744,                0.35101,                0.87718,                0.95992,                 0.9773,                0.98372,                0.84105,                0.56128,                0.43158,                0.79764,              0.0010074,              0.0010074,              0.0010074
                    152,                0.54445,                0.35768,                0.88406,                0.96189,                0.98701,                0.97671,                0.85791,                0.55723,                0.44165,                0.79969,              0.0010046,              0.0010046,              0.0010046
                    153,                0.55102,                0.35975,                0.87955,                0.93969,                0.99574,                0.97818,                0.85705,                0.55047,                 0.4185,                0.80401,              0.0010018,              0.0010018,              0.0010018
                    154,                0.58992,                0.37952,                0.88641,                0.95638,                0.95992,                0.97843,                0.85105,                0.60574,                0.45748,                0.82249,             0.00099893,             0.00099893,             0.00099893
                    155,                0.56728,                0.36492,                0.88027,                 0.9602,                0.98227,                0.97511,                0.85985,                0.55216,                0.43257,                0.80447,              0.0009961,              0.0009961,              0.0009961
                    156,                0.52867,                 0.3506,                0.87821,                0.95186,                0.98778,                0.97829,                0.87624,                0.58263,                0.43466,                  0.812,             0.00099327,             0.00099327,             0.00099327
