                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    131,                0.52785,                0.35672,                0.88166,                0.89643,                 0.9898,                0.96833,                0.85109,                0.57724,                0.41091,                0.81931,             0.00051651,             0.00051651,             0.00051651
                    132,                0.51423,                0.35438,                0.88426,                0.89822,                0.92751,                0.96015,                0.83158,                0.57471,                0.39935,                0.81329,             0.00050944,             0.00050944,             0.00050944
                    133,                0.50332,                0.35224,                0.87936,                0.91105,                0.98731,                0.96337,                0.84757,                0.56357,                0.39517,                0.81398,             0.00050236,             0.00050236,             0.00050236
                    134,                0.52182,                0.36486,                  0.884,                0.91303,                 0.9623,                0.97684,                 0.8718,                0.56958,                0.40572,                0.81646,             0.00049529,             0.00049529,             0.00049529
                    135,                0.51242,                0.34958,                0.88351,                0.91134,                0.98701,                0.97828,                0.86718,                0.57416,                0.42201,                0.82381,             0.00048822,             0.00048822,             0.00048822
                    136,                0.53123,                0.35787,                0.88136,                0.95965,                0.98177,                0.97734,                0.86925,                0.55774,                0.38735,                0.81961,             0.00048114,             0.00048114,             0.00048114
                    137,                0.51025,                0.35218,                0.88164,                0.94532,                 0.9839,                0.97692,                0.87543,                0.57956,                0.41075,                 0.8261,             0.00047407,             0.00047407,             0.00047407
                    138,                0.49238,                0.34113,                0.86975,                0.95503,                0.98701,                0.97716,                0.85885,                0.55559,                0.40083,                0.81788,               0.000467,               0.000467,               0.000467
                    139,                0.51268,                0.34776,                0.87936,                0.90905,                0.98701,                0.97514,                0.87403,                0.56172,                0.40166,                0.82525,             0.00045992,             0.00045992,             0.00045992
                    140,                0.49364,                0.33966,                0.87573,                0.91371,                0.98645,                0.96902,                0.87169,                0.56146,                0.38156,                0.81674,             0.00045285,             0.00045285,             0.00045285
                    141,                0.49619,                 0.3416,                 0.8695,                0.90894,                0.98612,                 0.9688,                0.86134,                0.55321,                0.40137,                0.81483,             0.00044578,             0.00044578,             0.00044578
                    142,                0.49743,                0.33163,                0.87334,                0.90826,                0.98268,                0.96784,                0.85724,                0.56114,                0.40873,                0.81992,              0.0004387,              0.0004387,              0.0004387
                    143,                0.47904,                0.34307,                0.87365,                0.94653,                0.92883,                0.96974,                0.85429,                0.54813,                0.39551,                0.82036,             0.00043163,             0.00043163,             0.00043163
                    144,                 0.4816,                0.32987,                0.86726,                0.95107,                0.92811,                0.96959,                0.86452,                0.54975,                0.39073,                0.81375,             0.00042456,             0.00042456,             0.00042456
                    145,                0.49046,                0.33317,                0.87117,                0.91177,                  0.986,                0.97266,                0.87328,                0.56443,                0.41432,                 0.8189,             0.00041748,             0.00041748,             0.00041748
                    146,                0.50417,                0.33302,                0.87354,                 0.9083,                0.98701,                0.97995,                0.85951,                0.58232,                0.39822,                0.81766,             0.00041041,             0.00041041,             0.00041041
                    147,                0.50278,                0.34191,                0.87634,                 0.9161,                0.97065,                0.97851,                0.86776,                0.55146,                0.40072,                0.81615,             0.00040334,             0.00040334,             0.00040334
                    148,                0.47688,                0.32738,                0.87625,                0.95502,                  0.976,                0.97975,                0.87888,                0.54684,                0.39678,                0.81042,             0.00039626,             0.00039626,             0.00039626
                    149,                0.48389,                0.33135,                0.87336,                0.91293,                0.98268,                 0.9721,                0.86405,                0.55625,                0.39499,                0.81157,             0.00038919,             0.00038919,             0.00038919
                    150,                0.47244,                0.33413,                0.86959,                0.90566,                0.98608,                0.97691,                0.87701,                0.53838,                0.39303,                0.80267,             0.00038211,             0.00038211,             0.00038211
                    151,                 0.4847,                0.34074,                0.87255,                 0.9163,                0.97219,                0.97483,                0.87313,                0.55074,                0.39345,                0.81032,             0.00037504,             0.00037504,             0.00037504
                    152,                0.48396,                0.32659,                0.86423,                0.93534,                 0.9768,                 0.9709,                0.86553,                0.57277,                0.39613,                0.80995,             0.00036797,             0.00036797,             0.00036797
                    153,                0.47738,                0.32652,                0.87253,                0.91184,                0.98701,                0.96852,                0.87345,                0.56931,                0.39177,                0.81142,             0.00036089,             0.00036089,             0.00036089
                    154,                0.47252,                0.31893,                0.86847,                0.90862,                0.98701,                0.97086,                0.87585,                0.55192,                0.39964,                0.80726,             0.00035382,             0.00035382,             0.00035382
                    155,                0.47456,                0.32459,                 0.8683,                 0.9124,                0.98597,                0.96636,                0.87317,                0.54404,                0.40258,                0.81119,             0.00034675,             0.00034675,             0.00034675
                    156,                0.45922,                0.32413,                0.86329,                0.91244,                0.98701,                0.96823,                0.88071,                0.54565,                0.39993,                0.81257,             0.00033967,             0.00033967,             0.00033967
